date,tas,pre,etp,qmmobs
199408,22.773,6.3069,108.9044,13.8611079010565
199409,14.4571,28.9779,60.6647,12.4104338047557
199410,10.865,124.894,33.45,13.7890973498188
199411,7.865,92.1519,21.2891,26.0419696065673
199412,3.7975,45.5025,12.3764,18.3700762631692
199501,3.0092,66.8341,13.6265,27.6514362004691
199502,5.819,65.2678,24.1183,35.1097597893418
199503,6.2853,26.4829,45.1682,20.8344373499695
199504,9.5613,27.2374,65.2798,16.4824150610671
199505,13.6779,58.7619,78.7312,15.2176143534311
199506,17.0767,70.4198,93.7148,14.2236225564325
199507,21.5644,6.1787,117.4214,14.8021688655214
199508,19.5736,34.4006,94.7737,13.5767585448872
199509,13.6963,20.0306,53.4922,11.5684642825921
199510,13.047,14.008,41.2374,9.757737430103
199511,8.0922,100.7338,19.1519,12.3427315770963
199512,5.0916,220.408,10.2116,63.7490330388405
199601,4.6115,161.1406,11.2017,137.858353333952
199602,2.7482,83.2891,20.4908,75.8861960337712
199603,5.2357,61.4305,36.7193,30.0874854466119
199604,8.619,40.7003,59.2488,37.1168231020431
199605,11.3665,117.5348,67.9238,44.541911051883
199606,16.5038,52.4939,96.2865,24.0189039491466
199607,20.7002,16.841,111.6937,22.1632474364835
199608,20.472,64.7413,92.5464,18.8273740372682
199609,15.3582,43.409,57.0581,16.8849355782418
199610,11.4117,26.0037,38.0057,15.6798359259054
199611,5.3006,133.7067,16.8106,24.8399473282154
199612,3.0994,204.8171,9.1556,94.4809205978101
199701,3.0781,176.5313,11.5082,172.925029887511
199702,6.1931,20.164,27.4145,48.0359614739024
199703,8.3031,15.0227,51.4807,34.2524033972557
199704,10.2902,53.4302,67.1847,26.8347011449786
199705,12.5797,95.2259,72.7121,24.1518465052776
199706,15.5988,65.3956,84.9421,22.0001466153041
199707,19.1229,54.3229,101.5396,17.125586223831
199708,20.4288,51.1793,92.2036,17.7472157687032
199709,18.4845,41.6175,67.1829,16.9378664107755
199710,13.0493,25.8276,39.1187,17.4450176434237
199711,6.2084,174.552,14.2766,45.2687867870257
199712,3.5659,143.984,10.4354,81.0512605293827
199801,3.8806,42.4368,13.773,48.6188161065697
199802,5.991,43.669,26.0638,34.8001759664995
199803,7.7407,33.936,46.0762,30.2425850954315
199804,6.4563,116.216,45.8345,36.1942263814852
199805,11.1937,150.1063,62.4979,58.9101701855878
199806,17.437,24.2717,100.5813,43.0346132742672
199807,20.7545,10.6655,112.9597,28.942702324372
199808,21.0661,48.0468,100.4149,26.3115475676109
199809,16.7143,41.8121,58.0268,23.628077453113
199810,10.5757,36.5226,36.9407,15.3222450689046
199811,5.3445,38.6145,18.6664,15.0815944233155
199812,3.3079,44.7906,12.8869,15.4274912591751
199901,3.1965,37.4727,15.8427,15.567819512869
199902,4.1182,42.0096,24.2579,16.0878957162522
199903,6.0258,79.0045,39.1452,20.468845320609
199904,8.7546,63.5136,61.4729,20.6196366458503
199905,13.7077,68.7767,80.3732,19.4040739219665
199906,16.9077,84.6102,97.1804,16.9840270205432
199907,21.2197,36.1519,109.7287,14.5135111857739
199908,20.6345,13.7268,94.877,13.9035756620428
199909,16.7517,150.0909,58.785,14.6021395565279
199910,11.5872,168.367,32.0118,37.7501466680565
199911,4.1462,38.9869,16.8642,18.9012310128966
199912,3.4068,61.9902,11.4939,34.1643905012986
200001,1.8718,25.7498,15.2035,22.9732122692081
200002,6.1419,16.0452,29.1564,16.4633353423631
200003,6.6404,46.9421,43.6259,16.1494431959425
200004,7.6789,169.42,46.8729,65.9893612995681
200005,13.8862,73.2175,78.4845,36.8712486580787
200006,17.08,33.0487,101.6186,19.3640680601678
200007,19.7319,8.5023,104.0153,16.2423798902749
200008,19.8633,6.5977,96.2427,16.7138335847027
200009,16.7617,28.0687,67.4736,13.5927608896067
200010,10.6885,79.661,36.2273,11.5339976939656
200011,5.19,116.1676,14.8035,27.6409731289218
200012,4.2637,146.0597,10.7726,63.6800998615874
200101,4.3762,157.5421,11.7966,129.156770655335
200102,4.4455,46.245,23.1478,56.1657680661965
