date,tas,pre,etp,qmmobs,snt,rt,mt,spt,Wi,Yi,Swi,eti,Rgi,Roi,Sgi,Qgi,Qbi,Qmmsim
1985-07-01,22.5613,21.4198,115.249,13.1280774179448,0,21.4198,0,0,21.4198,21.39194825093088,15.39021232618131,6.001735924749571,0.008355524720735374,0.019496224348382538,0.005570349813823583,0.0027851749069117914,0.0013925874534558957,0.020888811801838433
1985-08-01,20.8466,7.9095,106.8536,9.50908561215411,0,7.9095,0,0,23.29971232618131,23.26657622623543,17.145261429865716,6.121314796369713,0.009940829983764487,0.023195269962117137,0.010340786531725378,0.005170393265862689,0.0025851966329313446,0.02578046659504848
1985-09-01,19.1902,12.254,77.859,9.50293086418508,0,12.254,0,0,29.399261429865717,29.345548704202912,23.492626043106252,5.85292266109666,0.016113817698841616,0.037598907963963764,0.017636402820377997,0.008818201410188999,0.004409100705094499,0.04200800866905827
1985-10-01,12.6963,8.824,43.4007,15.3376319388272,0,8.824,0,0,32.316626043106254,32.25115690643361,28.489964876303222,3.7611920301303847,0.019640741001794026,0.04582839567085273,0.02485142921478135,0.012425714607390675,0.0062128573036953376,0.05204125297454806
1985-11-01,5.6227,83.7713,16.2132,15.3400938380148,8.619134825159632,75.15216517484036,0,8.619134825159632,103.64213005114358,102.78738035626716,98.13451678403638,4.652863572230785,0.2564249084629253,0.5983247864134924,0.18751755845180443,0.09375877922590221,0.04687938961295111,0.6452041760264435
1985-12-01,3.9448,109.7109,11.645,24.8811841396079,48.98172264907751,60.729177350922484,6.511831317475695,51.08902615676145,165.37552545243454,162.5560714869841,157.2365829652714,5.319488521712714,0.8458361896351306,1.9736177758153046,0.6889024987246234,0.3444512493623117,0.17222562468115585,2.1458434004964606
1986-01-01,1.8405,92.9821,12.5071,32.3425851024651,64.89168024441766,28.090419755582346,28.202505054829004,87.7782013463501,213.52950777568276,207.487757437298,200.20418408724512,7.283573350052876,1.8125251015154276,4.229225236869331,1.667618400160034,0.833809200080017,0.4169046000400085,4.646129836909339
1986-02-01,1.7117,183.5107,17.611,0,130.08831724007663,53.42238275992338,46.97109019918424,170.8954283872425,300.59765704635277,278.77508383633347,265.0949762516094,13.680107584724055,6.5467719630057895,15.27580124701351,5.476260242110548,2.738130121055274,1.369065060527637,16.644866307541147
1986-03-01,5.9479,46.0077,38.5004,59.0652698344074,0.6846393523125589,45.32306064768744,147.41787838946811,24.162189350086948,457.83591528876497,332.3864204938649,297.7627612869366,34.62365920692827,37.63484843847002,87.81464635643006,28.740739120387047,14.370369560193524,7.185184780096762,94.99983113652682
1986-04-01,4.9264,115.8892,44.2955,54.5015242153703,30.80129301165609,85.08790698834392,19.70847413326728,35.25500822847575,402.5591424085478,323.5170681346732,285.0581806225456,38.4588875121276,23.712622282162386,55.32945199171223,34.96890760169962,17.48445380084981,8.742226900424905,64.07167889213714
1986-05-01,14.9325,44.1364,87.8888,47.0727434167489,0,44.1364,34.89002212564198,0.3649861028337753,364.08460274818754,312.3162192244504,242.96206998346028,69.3541492409901,15.530515057121146,36.23786846661601,33.66628177254717,16.833140886273586,8.416570443136793,44.6544389097528
1986-06-01,18.1656,61.8386,106.9735,30.0505569587977,0,61.8386,0.3634958181090841,0.0014902847246912043,305.16416580156937,281.85070032258244,207.62611285171062,74.22458747087182,6.994039643696078,16.319425835290847,27.106880944162167,13.553440472081084,6.776720236040542,23.09614607133139
1986-07-01,21.2393,20.3313,113.3934,25.478194692604,0,20.3313,0.0014877721389487863,2.5125857424179807e-6,227.95890062384956,220.45558043346568,159.4475586795362,61.008021753929484,2.250996057115162,5.252324133268711,19.571918000851554,9.785959000425777,4.892979500212888,10.1453036334816
1986-08-01,20.1994,15.2353,102.1215,20.2183470782694,0,15.2353,2.506871798980983e-6,5.7139434369979285e-9,174.682861186408,171.39342928218974,128.01993008225347,43.373499199936276,0.9868295712654742,2.302602332952773,13.705831714744685,6.852915857372342,3.426457928686171,5.729060261638944
1986-09-01,17.4632,64.6952,62.0919,21.2308031191752,0,64.6952,5.685386436887811e-9,2.855700011011762e-11,192.71513008793886,188.3275816867906,157.71308645037544,30.614495236415166,1.3162645203444754,3.071283880803776,10.014730823392773,5.007365411696386,2.503682705848193,5.5749665866519695
1986-10-01,11.8558,51.2844,35.3037,21.8462779160783,0,51.2844,2.7840387737376972e-11,7.166123727406485e-13,208.99748645040327,203.3573519914855,183.84574650266188,19.51160548882362,1.6920403376753312,3.9480941212424394,7.804514107378736,3.902257053689368,1.951128526844684,5.8992226480871235
1986-11-01,5.3712,39.1061,19.3278,17.8580012321457,6.472944064344289,32.63315593565571,6.003924001385786e-13,6.472944064344405,216.4789024383182,210.161881460062,198.87088839686868,11.290993063193326,1.8951062934768543,4.421914684779327,6.466413600570394,3.233206800285197,1.6166034001425984,6.038518084921925
1986-12-01,2.0982,56.8851,11.2891,18.5251759119888,38.37691068082632,18.50818931917368,3.780495081399315,41.06935966377141,221.15957279744168,214.38178823201946,207.57732299820248,6.804465233816984,2.0333353696266667,4.744449195795556,5.6664993134647075,2.8332496567323537,1.4166248283661769,6.161074024161733
1987-01-01,1.5491,142.9896,12.6376,36.7567703458547,103.26632182113731,39.723278178862685,21.06206642772045,123.27361505718827,268.3626676047856,254.73870637948488,245.70482334737414,9.033883032110737,4.087188367590215,9.536772857710503,6.502458454036616,3.251229227018308,1.625614613509154,11.162387471219656
