code,date,tas,pre,etp,qmmobs,qhmobs,snt,rt,mt,spt,Wi,Yi,Swi,eti,Rgi,Roi,Sgi,Qgi,Qbi,Qmmsim,Qhmsim
3005,1999-10-01,10.8672,111.005,29.3482,23.54306928,40.4558,0,111.005,0,0,321.0253958088749,291.90139612558266,270.66618861916123,21.235207506421432,21.950758561297373,7.173241121994881,11.358914890478294,16.78450058791525,5.422904294949538,12.596145416944418,54.08673758738986
3005,1999-11-01,3.1932,38.0461,15.4151,17.65215174,30.333,0,38.0461,0,0,308.71228861916126,283.4558606678866,272.430765544725,11.025095123161634,19.0357697468757,6.220658204398944,12.267545713621375,18.127138923732623,5.856697314868773,12.077355519267718,41.14959969019496
3005,1999-12-01,2.8263,37.0387,11.0907,17.15575226,29.48,0,37.0387,0,0,309.469465544725,283.9887861997892,275.9975560713773,7.991230128411928,19.204788022278088,6.275891322657678,12.702493788831944,18.76983994706752,6.064347588498045,12.340238911155723,40.44784737688421
3005,2000-01-01,1.019,21.1522,14.0712,14.181429,24.369,0,21.1522,0,0,297.1497560713773,275.10911026881104,265.3247384470303,9.784371821780724,16.61203474139418,5.428611061172066,11.831585789044508,17.482942741181617,5.648563970248368,11.077175031420435,34.829268820152535
3005,2000-02-01,4.4813,11.1697,28.6364,10.96967198,18.85,0,11.1697,0,0,276.4944384470303,259.3069642883342,240.8837965039744,18.423167784359805,12.954199273409245,4.233274885286846,10.003747527880757,14.782037534573,4.77592850704519,9.009203392332036,27.334887655868854
3005,2000-03-01,5.794,39.6978,43.151,9.803802443,16.8466,0,39.6978,0,0,280.5815965039744,262.51726239046326,234.92458166746007,27.592680723003184,13.615088621353365,4.449245492157799,9.532757310045456,14.086078839188668,4.551071212153467,9.000316704311267,27.570014802984183
3005,2000-04-01,7.0121,126.4355,47.0828,40.57719493,69.7268,0,126.4355,0,0,361.36008166746007,315.9445177674896,279.88968236145575,36.05483540603382,34.22971051140776,11.18585338856273,17.66289339553739,26.099574425915826,8.432511501269143,19.618364889831874,63.26891565268332
3005,2000-05-01,13.4906,75.3781,76.3414,32.14503795,55.2372,0,75.3781,0,0,355.2677823614558,312.6906233426985,256.9146702051451,55.77595313755336,32.09040475243738,10.486754266319922,20.080841986549668,29.672456161425114,9.586873861194839,20.07362812751476,68.70452011183912
3005,2000-06-01,16.884,41.134,99.0647,14.37475128,24.7012,0,41.134,0,0,298.04867020514513,275.77164752087936,213.71060483329896,62.0610426875804,16.790191997131114,5.486830687134659,14.881453790358115,21.989580193322666,7.10461346466062,12.59144415179528,37.34439752819246
3005,2000-07-01,19.4558,5.7083,105.9554,11.34630709,19.4972,0,5.7083,0,0,219.41890483329897,211.11974320369052,160.73248089858416,50.38726230510636,6.255078120235888,2.0440835093725607,8.530878820896415,12.605653089697586,4.072760456750393,6.1168439661229534,17.740088769374605
3005,2000-08-01,19.8681,4.0367,96.3739,9.091501196,15.6226,0,4.0367,0,0,164.76918089858415,161.0053827654657,125.63896017687054,35.36642258859516,2.8367746529313806,0.9270234801870756,4.588078814129436,6.779574659698361,2.1904127768019435,3.117436256989019,9.414276348843561
3005,2000-09-01,16.1382,19.7365,64.4775,7.973002015,13.7006,0,19.7365,0,0,145.37546017687055,142.6418583706543,120.83178360331416,21.810074767340126,2.060315681345193,0.6732861248710639,2.6833469196515365,3.9650475758230925,1.281067221272683,1.9543533461437468,6.348958377260997
3005,2000-10-01,9.9909,62.4444,34.2974,8.43809283,14.4998,0,62.4444,0,0,183.27618360331417,178.28213729380298,163.22023547013728,15.061901823665693,3.764012703478585,1.230033606032606,2.6022075850625077,3.845152038067614,1.2423301719792654,2.4723637780118715,10.355432351646748
3005,2000-11-01,4.4457,92.6939,14.5542,14.34030011,24.642,0,92.6939,0,0,255.9141354701373,242.59333615827097,233.67475475422913,8.918581404041845,10.03988644135365,3.280912870512675,5.102453545261097,7.53964048115506,2.435982443056388,5.716895313569063,21.170448022567143
3005,2000-12-01,4.162,113.3806,10.671,35.65288881,61.265,0,113.3806,0,0,347.05535475422914,308.08702671979256,299.74127479390086,8.345751925891705,29.37042883955485,9.597899194881728,13.913540001540149,20.559342383275798,6.642517930612577,16.240417125494304,60.50312015426035
3005,2001-01-01,4.0115,123.9512,11.5758,98.97030106,170.068,0,123.9512,0,0,423.69247479390083,341.59991705477034,331.57334494283657,10.026572111933774,61.87316076798265,20.219396971147834,30.588138263888283,45.19856250563452,14.603203559945456,34.822600531093286,115.1554997537348
3005,2001-02-01,3.5444,40.3113,23.3718,58.54953307,100.61,0,40.3113,0,0,371.8846449428366,321.24046798921233,302.4877856366042,18.752682352608133,38.1705161699466,12.473660783677651,27.751560726428227,41.00709370740667,13.24898190592602,25.72264268960367,82.75581817578978
3005,2001-03-01,7.713,105.2216,33.2801,110.5542747,189.9736,0,105.2216,0,0,407.7093856366042,336.26873884889596,308.6666357358679,27.60210311302808,53.844815483895715,17.595831303812542,32.93297124707846,48.66340496324549,15.722659509574985,33.31849081338753,114.79423265709356
