date,tas,pre,etp,qmmobs,snt,rt,mt,spt,Wi,Yi,Swi,eti,Rgi,Roi,Sgi,Qgi,Qbi,Qmmsim
1985-07-01,22.5613,21.4198,115.249,13.1280774179448,0,21.4198,0,0,21.4198,21.402869491665967,16.696432131785702,4.706437359880265,0.0056512777552062445,0.011279230578824958,0.005013664686672425,6.376130685338203e-4,6.376130685338203e-4,0.011916843647358778
1985-08-01,20.8466,7.9095,106.8536,9.50908561215411,0,7.9095,0,0,24.605932131785703,24.583434200816868,19.52767405436155,5.055760146455317,0.0075096420210127544,0.014988288947823034,0.011110347663029993,0.0014129590446551863,0.0014129590446551863,0.016401247992478222
1985-09-01,19.1902,12.254,77.859,9.50293086418508,0,12.254,0,0,31.781674054361552,31.743541001421164,26.840837239445705,4.902703761975459,0.012728529443321623,0.025404523497066647,0.02114922350223023,0.0026896536041213863,0.0026896536041213863,0.02809417710118803
1985-10-01,12.6963,8.824,43.4007,15.3376319388272,0,8.824,0,0,35.6648372394457,35.61639785654532,32.43666939664162,3.1797284599037,0.016168705726963592,0.03227067717341993,0.033107483309201026,0.0042104459199928035,0.0042104459199928035,0.03648112309341273
1985-11-01,5.6227,83.7713,16.2132,15.3400938380148,0,83.7713,0,0,116.20796939664162,115.58080924643,111.61271066834006,3.9680985780899363,0.20934139341336908,0.4178187567982536,0.21509425376013636,0.02735462296243376,0.02735462296243376,0.4451733797606873
1985-12-01,3.9448,109.7109,11.645,24.8811841396079,0,109.7109,0,0,221.32361066834005,218.15738623940078,212.75153448432073,5.40585175508005,1.0568621644566227,2.1093622644826504,1.1284462122083347,0.14351020600842454,0.14351020600842454,2.252872470491075
1986-01-01,1.8405,92.9821,12.5071,32.3425851024651,3.645189735043833,89.33691026495617,0,3.645189735043833,302.0884447492769,293.79560443475555,285.98373434386644,7.8118700908891014,2.7680884160300563,5.5247518984913,3.456902830160419,0.43963179807797254,0.43963179807797254,5.964383696569273
1986-02-01,1.7117,183.5107,17.611,0,12.781491169357711,170.7292088306423,3.114934775942139,13.311746128459404,459.8278779504509,409.5339195341032,394.2845521163285,15.249367417774693,16.787749240125677,33.50620917622204,17.960521774966082,2.284130295320016,2.284130295320016,35.79033947154206
1986-03-01,5.9479,46.0077,38.5004,59.0652698344074,0,46.0077,12.640268128810215,0.6714779996491895,452.9325202451387,406.2507271764126,373.9091050127549,32.341622163657746,15.58203531385748,31.09975775486857,29.758072645075835,3.7844844437477327,3.7844844437477327,34.884242198616306
1986-04-01,4.9264,115.8892,44.2955,54.5015242153703,0,115.8892,0.6277516403403974,0.043726359308792095,490.42605665309526,421.7328917290811,383.3419903343838,38.390901394697266,22.929267521724945,45.76389740228924,46.74281963678606,5.944520530014725,5.944520530014725,51.708417932303966
1986-05-01,14.9325,44.1364,87.8888,47.0727434167489,0,44.1364,0.043493019102820205,2.3334020597189087e-4,427.5218833534866,392.3896895436282,324.69270783666644,67.69698170696176,11.726864985510678,23.405328824347713,51.87276324573156,6.596921376565178,6.596921376565178,30.00225020091289
1986-06-01,18.1656,61.8386,106.9735,30.0505569587977,0,61.8386,2.3278534409301688e-4,5.548618788739834e-7,386.53154062201054,364.65319097657243,289.5848138394453,75.06837713712713,7.302830383619652,14.575519261818455,52.4990271127681,6.676566516583117,6.676566516583117,21.25208577840157
1986-07-01,21.2393,20.3313,113.3934,25.478194692604,0,20.3313,5.542500401624178e-7,6.11838711565592e-10,309.91611439369535,300.8450478171312,235.63021715702095,65.21483066011027,3.0278545539645862,6.043212022599549,49.261986020252884,6.264895646479803,6.264895646479803,12.308107669079352
1986-08-01,20.1994,15.2353,102.1215,20.2183470782694,0,15.2353,6.109637244412239e-10,8.749871243681391e-13,250.86551715763193,246.30776896222602,197.6579587044543,48.64981025777172,1.5213424477489368,3.03640574765697,45.05363063727437,5.729697830727457,5.729697830727457,8.766103578384428
1986-09-01,17.4632,64.6952,62.0919,21.2308031191752,0,64.6952,8.725070553235909e-13,2.480069044548136e-15,262.35315870445515,257.1265940328483,224.92737048529705,32.19922354755124,1.7445884129437665,3.4819762586630993,41.518146588191634,5.280072462026508,5.280072462026508,8.762048720689608
1986-10-01,11.8558,51.2844,35.3037,21.8462779160783,0,51.2844,2.451507675690786e-15,2.856136885734993e-17,276.21177048529705,270.0617546251847,250.280145870283,19.78160875490167,2.052829551169377,4.097186308942999,38.65502173070747,4.915954408653544,4.915954408653544,9.013140717596542
1986-11-01,5.3712,39.1061,19.3278,17.8580012321457,0,39.1061,2.6897212859243657e-17,1.6641559981062753e-18,289.386245870283,282.22095516943006,270.7089317760255,11.512023393404547,2.3917207415398924,4.773569959313058,36.415588146672725,4.631154325574638,4.631154325574638,9.404724284887696
1986-12-01,2.0982,56.8851,11.2891,18.5251759119888,0,56.8851,1.444373881507729e-18,2.1978211659854627e-19,327.59403177602553,316.4908136565159,308.88508226514745,7.605731391368465,3.706171624147997,7.397046495361623,35.594967871611345,4.526791899209378,4.526791899209378,11.923838394571002
1987-01-01,1.5491,142.9896,12.6376,36.7567703458547,15.25877080364293,127.73082919635706,1.864845798070852e-19,15.25877080364293,436.61591146150454,397.666324904193,386.983755259033,10.682569645160015,13.001082291390647,25.94850426592089,43.11313497014853,5.4829151928534685,5.4829151928534685,31.431419458774357
1987-02-01,3.0399,103.1336,20.2349,52.1762604326701,0,103.1336,13.666313473367453,1.5924573302754776,503.78366873240043,425.95384933202405,407.78103529772216,18.172814034301894,25.979014828808733,51.85080457156765,61.2967343985504,7.795415400406869,7.795415400406869,59.64621997197452
