code,date,tas,pre,etp,qmmobs,qhmobs,snt,rt,mt,spt,Wi,Yi,Swi,eti,Rgi,Roi,Sgi,Qgi,Qbi,Qmmsim,Qhmsim
3001,1985-07-01,20.9702,24.8067,106.6446,29.59220633,11.8952,0,24.8067,0,0,24.8067,24.76897284823778,18.26328787676121,6.505684971476569,0.011318145528665724,0.026409006233553356,0.007545430352443816,0.003772715176221908,0.001886357588110954,0.02829536382166431,0.011373907202149078
3001,1985-08-01,19.0769,6.7046,98.2935,26.125287,10.5016,0,6.7046,0,0,24.96788787676121,24.929650769687612,18.82563147425816,6.1040192954294525,0.011471132122079552,0.026765974951518955,0.01267770831634891,0.006338854158174455,0.0031694270790872275,0.029935402030606184,0.012033154509024188
3001,1985-09-01,17.0248,13.8882,67.4091,23.91243917,9.6121,0,13.8882,0,0,32.71383147425816,32.64666314854847,26.92742331135302,5.719239837195449,0.0201504977129062,0.047017827996781135,0.021885470686170073,0.010942735343085036,0.005471367671542518,0.052489195668323656,0.02109911872523303
3001,1985-10-01,10.9975,11.1189,37.923,7.493829706,3.0123,0,11.1189,0,0,38.04632331135302,37.95399680444825,34.05658436643844,3.897412438009809,0.02769795207143062,0.06462855483333811,0.0330556151717338,0.0165278075858669,0.00826390379293345,0.07289245862627156,0.029300632618723416
3001,1985-11-01,4.2854,71.4271,13.2112,7.508009844,3.018,0,71.4271,0,0,105.48368436643844,104.59214670730775,100.7177634447528,3.874383262554943,0.2674612977392073,0.6240763613914836,0.20034460860729406,0.10017230430364703,0.050086152151823514,0.6741625135433071,0.27099357748276265
3001,1985-12-01,3.9826,101.7204,11.0113,11.42123035,4.591,0,101.7204,0,0,202.4381634447528,197.33652361877387,191.22479170282358,6.111731915950287,1.5304919477936807,3.5711478781852546,1.1538910376006497,0.5769455188003249,0.2884727594001624,3.859620637585417,1.5514544094246565
3001,1986-01-01,1.268,91.3757,10.9303,15.90165637,6.392,0,91.3757,0,0,282.60049170282355,265.8144116188222,257.64146194215425,8.17294967666794,5.035824025200406,11.750256058800948,4.126476708534037,2.0632383542670185,1.0316191771335093,12.781875235934457,5.137939335901239
3001,1986-02-01,0.1464,137.6744,16.1543,138.0349351,55.486,0,137.6744,0,0,395.31586194215424,321.8178275272657,307.3018500841031,14.515977443162626,22.04941032446656,51.44862409042197,17.45059135533373,8.725295677666866,4.362647838833433,55.811271929255405,22.434496045293148
3001,1986-03-01,4.5558,46.2706,34.8953,99.64930189,40.0561,0,46.2706,0,0,353.5724500841031,308.168086693157,278.9254419593762,29.24264473378082,13.621309017283817,31.78305437366224,20.7146002484117,10.35730012420585,5.178650062102925,36.961704435765164,14.857522205237627
3001,1986-04-01,3.5261,100.4534,38.6404,24.02986066,9.6593,0,100.4534,0,0,379.3788419593762,317.452740919911,284.2709455253382,33.18179539457276,18.577830311839563,43.348270727625646,26.194953706834173,13.097476853417087,6.548738426708543,49.89700915433419,20.057135697674124
3001,1986-05-01,13.1588,47.5702,76.3007,20.58284329,8.2737,0,47.5702,0,0,331.8411455253382,297.8331326339187,239.49472033226525,58.33841230165345,10.202403867425858,23.805609023993668,24.264905049506684,12.132452524753342,6.066226262376671,29.871835286370338,12.007602540346985
3001,1986-06-01,15.8635,84.1863,95.3993,21.47345546,8.6317,0,84.1863,0,0,323.68102033226523,293.32131802267827,223.3408831081635,69.98043491451477,9.10791069287609,21.251791616710875,22.24854382825518,11.12427191412759,5.562135957063795,26.81392757377467,10.778413236579507
3001,1986-07-01,18.9628,34.0548,104.4359,14.22292706,5.7172,0,34.0548,0,0,257.3956831081635,245.7993423447487,182.3863493670976,63.4129929776511,3.478902229024436,8.11743853439035,17.151630704853076,8.575815352426538,4.287907676213269,12.40534621060362,4.986585700018684
3001,1986-08-01,18.5658,14.8704,94.1192,14.05973109,5.6516,0,14.8704,0,0,197.2567493670976,192.54745461565744,147.14678718431887,45.400667431338576,1.4127884254320462,3.296506326008108,12.376279420190082,6.188139710095041,3.0940698550475205,6.3905761810556285,2.5688243809022575
3001,1986-09-01,15.9727,61.1624,52.8071,11.87922392,4.7751,0,61.1624,0,0,208.30918718431886,202.72787425220326,174.33646348967113,28.391410762532132,1.6743938796346782,3.9069190524809154,9.367115533216507,4.683557766608254,2.341778883304127,6.248697935785042,2.5117934833360684
3001,1986-10-01,11.9206,46.9076,30.8558,13.55646058,5.4493,0,46.9076,0,0,221.24406348967113,214.4576815398893,196.36064647404066,18.097035065848644,2.035914584934548,4.750467364847278,7.60202007876737,3.801010039383685,1.9005050196918425,6.650972384539121,2.6734960250938595
3001,1986-11-01,5.5236,37.8347,17.1473,9.781807391,3.932,0,37.8347,0,0,234.19534647404066,225.9625047159031,215.15889280066332,10.80361191523977,2.46985252744127,5.762989230696297,6.714581737472426,3.357290868736213,1.6786454343681065,7.441634665064403,2.991319095460204
3001,1986-12-01,2.1762,37.768,10.4358,10.43857167,4.196,0,37.768,0,0,252.92689280066332,242.06865138432065,234.95753552065807,7.111115863662576,3.2574724249028035,7.600768991439875,6.648036108250153,3.3240180541250766,1.6620090270625383,9.262778018502413,3.723365364042028
3001,1987-01-01,0.0298,135.0858,11.0503,41.43088003,16.654,0,135.0858,0,0,370.04333552065805,314.4381139807683,304.6656650405265,9.772448940241816,16.681566461966916,38.9236550779228,15.553068380144714,7.776534190072357,3.8882670950361784,42.81192217295898,17.209138324209842
